accession,species_ID,genus_ID,designated_species
GCF_003865135.1,42,21,Streptomyces chrestomyceticus
GCF_003865155.1,42,21,Streptomyces rimosus
GCF_003933295.1,127,45,Streptomyces griseofuscus
GCF_003933485.1,127,45,Streptomyces griseofuscus
GCF_003933965.1,234,34,Streptomyces sp.
GCF_003935055.1,130,23,Streptomyces alboflavus
GCF_003945525.1,235,20,Streptomyces sp.
GCF_003947265.2,236,19,Streptomyces sp.
GCF_003947555.1,47,51,Streptomyces sp.
GCF_003947575.1,142,21,Streptomyces sp.
GCF_003947585.1,142,21,Streptomyces sp.
GCF_003949535.1,165,28,Streptomyces sp.
GCF_003949695.1,113,4,Streptomyces sp.
GCF_003949805.1,237,22,Streptomyces sp.
GCF_003949835.1,96,36,Streptomyces sp.
GCF_003949875.1,238,28,Streptomyces sp.
GCF_003949895.1,56,2,Streptomyces sp.
GCF_003949905.1,96,36,Streptomyces sp.
GCF_003950035.1,165,28,Streptomyces sp.
GCF_003955715.1,239,61,Streptomyces aquilus
GCF_003963535.1,240,51,Streptomyces cyaneochromogenes
GCF_003977875.1,241,51,Streptomyces sp.
GCF_003984905.1,96,36,Streptomyces sp.
GCF_003984925.1,96,36,Streptomyces sp.
GCF_003984935.1,96,36,Streptomyces sp.
GCF_003984965.1,96,36,Streptomyces sp.
GCF_003984975.1,96,36,Streptomyces sp.
GCF_003989035.1,52,2,Streptomyces sp.
GCF_004125275.1,143,33,Streptomyces lydicus
GCF_003994375.1,143,33,Streptomyces lydicus
GCF_004000395.1,79,59,Streptomyces sp.
GCF_004000405.1,56,2,Streptomyces sp.
GCF_004078575.1,79,59,Streptomyces albidoflavus
GCF_004104485.1,127,45,Streptomyces sp.
GCF_004117935.1,242,63,Streptomyces roseicoloratus
GCF_004124335.1,79,59,Streptomyces sp.
GCF_004125265.1,144,33,Streptomyces lydicus
GCF_004125315.1,91,11,Streptomyces sp.
GCF_004151105.1,243,27,Streptomyces sp.
GCF_004195735.1,79,59,Streptomyces albidoflavus
GCF_004195745.1,79,59,Streptomyces albidoflavus
GCF_004195895.1,79,59,Streptomyces albidoflavus
GCF_004196225.1,79,59,Streptomyces sp.
GCF_004217355.1,122,35,Streptomyces sp.
GCF_004320085.1,80,71,Streptomyces kasugaensis
GCF_004341025.1,77,34,Streptomyces sp.
GCF_004364245.1,99,36,Streptomyces sp.
GCF_004364395.1,104,64,Streptomyces sp.
GCF_004524875.1,3,11,Streptomyces sp.
GCF_004563805.1,128,55,Streptomyces sp.
GCF_004794175.1,84,2,Streptomyces sp.
GCF_004794665.1,127,45,Streptomyces sp.
GCF_004795115.1,13,17,Streptomyces sp.
GCF_004795155.1,21,36,Streptomyces sp.
GCF_004795715.1,96,36,Streptomyces sp.
GCF_004803895.1,27,6,Streptomyces hawaiiensis
GCF_005234185.1,6,2,Streptomyces sp.
GCF_005490965.1,96,36,Streptomyces sp.
GCF_005938145.1,112,4,Streptomyces sp.
GCF_006516935.1,244,34,Streptomyces griseorubiginosus
GCF_006539185.1,166,22,Streptomyces gardneri
GCF_006547175.1,81,8,Streptomyces ipomoeae
GCF_006547185.1,81,8,Streptomyces ipomoeae
GCF_006715925.1,167,20,Streptomyces sp.
GCF_006716135.1,168,20,Streptomyces asterosporus
GCF_006788935.1,56,2,Streptomyces cavourensis
GCF_014649215.1,56,2,Streptomyces cavourensis
GCF_007827595.1,245,58,Streptomyces sp.
GCF_007828695.1,246,20,Streptomyces sp.
GCF_007829875.1,247,20,Streptomyces capillispiralis
GCF_007896895.1,92,45,Streptomyces misionensis
GCF_007896905.1,79,59,Streptomyces albidoflavus
GCF_008016805.1,169,45,Streptomyces lavendulae
GCF_008039505.1,248,55,Streptomyces sp.
GCF_008042065.1,91,11,Streptomyces sp.
GCF_008042145.1,87,22,Streptomyces sp.
GCF_008086975.1,12,17,Streptomyces sp.
GCF_008087005.1,143,33,Streptomyces sp.
GCF_008180165.1,53,2,Streptomyces parvus
GCF_008632535.1,53,2,Streptomyces parvus
GCF_014648875.1,53,2,Streptomyces parvus
GCF_014654895.1,66,30,Streptomyces filamentosus
GCF_008634015.1,66,30,Streptomyces filamentosus
GCF_008634025.1,249,21,Streptomyces albofaciens
GCF_008639045.1,61,22,Streptomyces venezuelae
GCF_008642275.1,161,17,Streptomyces venezuelae
GCF_008642375.1,250,22,Streptomyces venezuelae
GCF_008704515.1,100,20,Streptomyces viridosporus
GCF_008704575.1,124,68,Streptomyces galilaeus
GCF_008704715.1,47,51,Streptomyces chartreusis
GCF_014650315.1,47,51,Streptomyces chartreusis
GCF_008704995.1,111,69,Streptomyces nodosus
GCF_014205035.1,111,69,Streptomyces nodosus
GCF_017352335.1,111,69,Streptomyces nodosus
GCF_008705135.1,251,6,Streptomyces coeruleorubidus
GCF_008705255.1,61,22,Streptomyces venezuelae
GCF_008973465.1,252,50,Streptomyces sp.
GCF_009208535.1,134,9,Streptomyces mobaraensis
GCF_009299385.1,120,22,Streptomyces cinereoruber
GCF_011758705.1,120,22,Streptomyces cinereoruber
GCF_014197485.1,120,22,Streptomyces cinereoruber
GCF_009377175.1,253,70,Streptomyces adustus
GCF_009604455.1,254,56,Streptomyces sp.
GCF_009739225.1,34,20,Streptomyces sp.
GCF_009811575.1,58,33,Streptomyces glebosus
GCF_014656235.1,58,33,Streptomyces glebosus
GCF_009829585.1,101,36,Streptomyces tendae
GCF_009832925.1,95,47,Streptomyces sp.
GCF_009834105.1,79,59,Streptomyces sp.
GCF_009834125.1,255,39,Streptomyces sp.
GCF_009834145.1,256,45,Streptomyces sp.
GCF_009852415.1,257,20,Streptomyces sp.
GCF_009857135.1,258,49,Streptomyces sp.
GCF_900091985.1,127,45,Streptomyces sp.
GCF_900091975.1,127,45,Streptomyces sp.
GCF_009862025.1,127,45,Streptomyces sp.
GCF_009862355.1,3,11,Streptomyces sp.
GCF_900091765.1,54,18,Streptomyces sp.
GCF_009862465.1,54,18,Streptomyces sp.
GCF_009862505.1,80,71,Streptomyces sp.
GCF_009862625.1,169,45,Streptomyces sp.
GCF_009862685.1,127,45,Streptomyces sp.
GCF_009862765.1,127,45,Streptomyces sp.
GCF_009863035.1,123,35,Streptomyces sp.
GCF_009863125.1,125,72,Streptomyces sp.
GCF_900091725.1,125,72,Streptomyces sp.
GCF_009863145.1,59,2,Streptomyces sp.
GCF_900091775.1,59,2,Streptomyces sp.
GCF_900091885.1,79,59,Streptomyces sp.
GCF_009864905.1,53,2,Streptomyces sp.
GCF_900187925.1,53,2,Streptomyces sp.
GCF_009865205.1,117,35,Streptomyces sp.
GCF_900091785.1,79,59,Streptomyces sp.
GCF_009865475.1,111,69,Streptomyces sp.
GCF_009865505.1,4,2,Streptomyces sp.
GCF_009865565.1,138,17,Streptomyces sp.
GCF_009865595.1,117,35,Streptomyces sp.
GCF_009872515.1,259,22,Streptomyces sp.
GCF_009872555.1,28,6,Streptomyces sp.
GCF_009872565.1,52,2,Streptomyces sp.
GCF_010119355.1,127,45,Streptomyces sp.
GCF_017979945.1,79,59,Streptomyces sp.
GCF_010523235.1,79,59,Streptomyces sp.
GCF_010548045.1,2,2,Streptomyces anulatus
GCF_010548165.1,4,2,Streptomyces cyaneofuscatus
GCF_010548175.1,54,18,Streptomyces halstedii
GCF_010548375.1,260,34,Streptomyces sp.
GCF_010548385.1,45,36,Streptomyces coelicoflavus
GCF_010548435.1,45,36,Streptomyces coelicoflavus
GCF_010548465.1,93,73,Streptomyces sp.
GCF_010548505.1,6,2,Streptomyces sp.
GCF_010548615.1,2,2,Streptomyces anulatus
GCF_010548665.1,53,2,Streptomyces parvus
GCF_010548705.1,2,2,Streptomyces anulatus
GCF_010550525.1,2,2,Streptomyces anulatus
GCF_010548725.1,73,59,Streptomyces sp.
GCF_010550325.1,21,36,Streptomyces rubrogriseus
GCF_010550365.1,93,73,Streptomyces sp.
GCF_010550405.1,96,36,Streptomyces rochei
GCF_010550435.1,93,73,Streptomyces sp.
GCF_010550645.1,93,73,Streptomyces sp.
GCF_010892295.1,112,4,Streptomyces rhizosphaericus
GCF_010993835.1,45,36,Streptomyces sp.
GCF_011008945.1,110,44,Streptomyces sp.
GCF_011055525.1,84,2,Streptomyces sp.
GCF_011170105.1,73,59,Streptomyces rutgersensis
GCF_011170125.1,73,59,Streptomyces diastaticus
GCF_014648935.1,73,59,Streptomyces diastaticus
GCF_011290345.1,261,33,Streptomyces sp.
GCF_011317205.1,45,36,Streptomyces sp.
GCF_012927245.1,71,30,Streptomyces sp.
GCF_012927225.1,71,30,Streptomyces sp.
GCF_013046785.1,262,16,Streptomyces sp.
GCF_013363665.1,53,2,Streptomyces sp.
GCF_013363455.1,53,2,Streptomyces sp.
GCF_013363465.1,79,59,Streptomyces odorifer
GCF_015601545.1,79,59,Streptomyces albidoflavus
GCF_013363475.1,56,2,Streptomyces sp.
GCF_013363575.1,96,36,Streptomyces sp.
GCF_013363655.1,53,2,Streptomyces sp.
GCF_013363675.1,56,2,Streptomyces sp.
GCF_013363735.1,56,2,Streptomyces sp.
GCF_013364095.1,106,7,Streptomyces harbinensis
GCF_013364175.1,167,20,Streptomyces sp.
GCF_013364315.1,5,2,Streptomyces fulvissimus
GCF_013375055.1,47,51,Streptomyces chartreusis
GCF_013394065.1,76,32,Streptomyces rectiverticillatus
GCF_013401535.1,133,2,Streptomyces sp.
GCF_013423905.1,92,45,Streptomyces sp.
GCF_013870595.1,263,16,Streptomyces sp.
GCF_014076605.1,112,4,Streptomyces sp.
GCF_014138735.1,168,20,Streptomyces calvus
GCF_014649315.1,168,20,Streptomyces calvus
GCF_014138855.1,127,45,Streptomyces murinus
GCF_014138905.1,127,45,Streptomyces murinus
GCF_014202475.1,29,6,Streptomyces paradoxus
GCF_014650615.1,72,20,Streptomyces albaduncus
GCF_014203495.1,72,20,Streptomyces albaduncus
GCF_014203535.1,170,20,Streptomyces griseostramineus
GCF_014649635.1,170,20,Streptomyces griseostramineus
GCF_014203595.1,264,16,Streptomyces echinatus
GCF_014205055.1,25,6,Streptomyces luteogriseus
GCF_014205255.1,265,6,Streptomyces caelestis
GCF_014207295.1,266,6,Streptomyces sp.
GCF_014253015.1,267,9,Streptomyces sp.
GCF_014596915.1,268,75,Streptomyces sp.
GCF_014648195.1,135,15,Streptomyces purpureus
GCF_014648635.1,269,16,Streptomyces cinerochromogenes
GCF_014648655.1,57,72,Streptomyces atratus
GCF_014649135.1,171,76,Streptomyces niveoruber
GCF_014649475.1,171,76,Streptomyces daghestanicus
GCF_014649515.1,270,20,Streptomyces flavoviridis
GCF_014649535.1,60,72,Streptomyces gelaticus
GCF_014649595.1,170,20,Streptomyces griseomycini
GCF_014649875.1,52,2,Streptomyces rubiginosohelvolus
GCF_014649895.1,63,20,Streptomyces rubiginosus
GCF_014649995.1,271,20,Streptomyces griseoflavus
GCF_014650115.1,150,16,Streptomyces olivaceoviridis
GCF_014650135.1,96,36,Streptomyces plicatus
GCF_014650155.1,272,6,Streptomyces purpurascens
GCF_014650435.1,101,36,Streptomyces tendae
GCF_014650735.1,273,16,Streptomyces canarius
GCF_014650895.1,274,30,Streptomyces omiyaensis
GCF_014651075.1,275,6,Streptomyces djakartensis
GCF_014655335.1,6,2,Streptomyces griseus
GCF_014655475.1,35,20,Streptomyces viridodiastaticus
GCF_014656075.1,172,30,Streptomyces hydrogenans
GCF_014673495.1,127,45,Streptomyces griseofuscus
GCF_014701095.1,30,6,Streptomyces tuirus
GCF_014905535.1,172,30,Streptomyces sp.
GCF_015163075.1,276,61,Streptomyces sp.
GCF_015244315.1,173,36,Streptomyces olivaceus
GCF_015475835.1,277,32,Streptomyces sp.
GCF_015645455.1,173,36,Streptomyces olivaceus
GCF_015680775.2,73,59,Streptomyces sp.
GCF_015710995.1,166,22,Streptomyces gardneri
GCF_016432735.1,34,20,Streptomyces sp.
GCF_016457305.1,127,45,Streptomyces sp.
GCF_016467295.1,127,45,Streptomyces costaricanus
GCF_016612545.1,278,12,Streptomyces sp.
GCF_016654065.1,52,2,Streptomyces sp.
GCF_016612645.1,52,2,Streptomyces sp.
GCF_016612575.1,52,2,Streptomyces sp.
GCF_016612625.1,14,12,Streptomyces sp.
GCF_016612665.1,52,2,Streptomyces sp.
GCF_016612775.1,52,2,Streptomyces sp.
GCF_016612725.1,52,2,Streptomyces sp.
GCF_016612705.1,52,2,Streptomyces sp.
GCF_016613335.1,79,59,Streptomyces sp.
GCF_016613285.1,79,59,Streptomyces sp.
GCF_016653995.1,5,2,Streptomyces sp.
GCF_016654055.1,52,2,Streptomyces sp.
GCF_016654115.1,14,12,Streptomyces sp.
GCF_016741825.1,140,33,Streptomyces sp.
GCF_016741855.1,279,16,Streptomyces sp.
GCF_016741935.1,280,4,Streptomyces sp.
GCF_016772455.1,5,2,Streptomyces fulvissimus
GCF_016803985.1,79,59,Streptomyces koyangensis
GCF_016860525.1,281,16,Streptomyces achromogenes
GCF_016901035.1,10,2,Streptomyces sp.
GCF_016909575.1,103,11,Streptomyces sp.
GCF_016917755.1,155,41,Streptomyces noursei
GCF_017311125.1,133,2,Streptomyces sp.
GCF_017358145.1,5,2,Streptomyces sp.
GCF_017526105.1,282,16,Streptomyces cyanogenus
GCF_017592595.1,121,4,Streptomyces sp.
GCF_017614965.1,283,78,Streptomyces griseorubiginosus
GCF_017877015.1,86,22,Streptomyces sp.
GCF_017933235.1,18,14,Streptomyces sp.
GCF_017968965.1,18,14,Streptomyces sp.
GCF_017969005.1,18,14,Streptomyces sp.
GCF_017969025.1,18,14,Streptomyces sp.
GCF_018070055.1,96,36,Streptomyces sp.
GCF_018070125.1,96,36,Streptomyces sp.
GCF_018070145.1,21,36,Streptomyces sp.
GCF_018070175.1,75,36,Streptomyces sp.
GCF_018070265.1,75,36,Streptomyces sp.
GCF_018070205.1,164,36,Streptomyces sp.
GCF_018070225.1,34,20,Streptomyces sp.
GCF_018070255.1,88,50,Streptomyces sp.
GCF_018070535.1,98,36,Streptomyces sp.
GCF_018070665.1,2,2,Streptomyces sp.
GCF_018070745.1,2,2,Streptomyces sp.
GCF_018128905.1,284,34,Streptomyces sp.
GCF_018530775.1,47,51,Streptomyces sp.
GCF_018530825.1,2,2,Streptomyces sp.
GCF_018614185.1,116,51,Streptomyces sp.
GCF_018614355.1,116,51,Streptomyces sp.
GCF_018614415.1,285,76,Streptomyces sp.
GCF_018619195.1,79,59,Streptomyces sp.
GCF_018619165.1,79,59,Streptomyces sp.
GCF_018619235.1,79,59,Streptomyces sp.
GCF_018619185.1,11,2,Streptomyces sp.
GCF_018638305.1,286,20,Streptomyces sp.
GCF_018638335.1,79,59,Streptomyces sp.
GCF_018966745.1,34,20,Streptomyces sp.
GCF_018982965.1,287,36,Streptomyces sp.
GCF_019049125.1,97,36,Streptomyces sp.
GCF_019049185.1,2,2,Streptomyces anulatus
GCF_019049245.1,288,52,Streptomyces sp.
GCF_019049255.1,289,20,Streptomyces sp.
GCF_019049285.1,290,51,Streptomyces sp.
GCF_019067045.1,79,59,Streptomyces sp.
GCF_019090105.1,123,35,Streptomyces sp.
GCF_900079405.2,92,45,Streptomyces sp.
GCF_900079415.1,35,20,Streptomyces sp.
GCF_900091315.1,291,10,Streptomyces sp.
GCF_900091865.1,56,2,Streptomyces sp.
GCF_900091875.1,74,18,Streptomyces sp.
GCF_900091905.1,1,2,Streptomyces sp.
GCF_900092005.1,53,2,Streptomyces sp.
GCF_900104815.1,92,45,Streptomyces misionensis
GCF_900105265.1,292,12,Streptomyces sp.
GCF_900105395.1,293,79,Streptomyces sp.
GCF_900105465.1,47,51,Streptomyces sp.
GCF_900105605.1,154,16,Streptomyces sp.
GCF_900105915.1,69,33,Streptomyces sp.
GCF_900119365.1,294,72,Streptomyces atratus
GCF_900171555.1,79,59,Streptomyces albidoflavus
GCF_900206255.1,295,61,Streptomyces sp.
GCF_900215595.1,146,14,Streptomyces sp.
GCF_900215615.1,26,6,Streptomyces sp.
